source_name,time(MJD),src_raj,f_range(MHz),RFI(MHz)
Unknown,58934.72388888889,4h08m27.81s,"(856.0, 1712.0)","[[942.0048857912026, 942.0048857912026], [963.05163758974, 963.05163758974], [1016.658397170147, 1016.658397170147], [1044.3718639033848, 1044.3718639033848], [1288.1941954004963, 1304.3892058120148], [1323.4942097879355, 1324.0173282790522], [1340.1374701480834, 1340.6823429610822], [1358.8658978882027, 1362.959339508246], [1385.93781198733, 1385.93781198733], [1397.2536538061147, 1397.2536538061147], [1608.1554820490542, 1632.545101155321], [1650.0273826169641, 1650.0273826169641]]"
Unknown,58934.723449074074,8h36m01.93s,"(856.0, 1712.0)","[[879.74620574535, 879.74620574535], [907.6098080497993, 907.6098080497993], [932.0330224228189, 932.0330224228189], [963.0965446897417, 963.0965446897417], [1016.6192489440782, 1016.6192489440782], [1064.6374190002418, 1064.6374190002418], [1276.9907916306915, 1293.9520714208995], [1304.965336756398, 1304.965336756398], [1323.575691106794, 1323.9258497753897], [1339.872460963857, 1340.9463855197978], [1356.6106522973287, 1365.4962775429817], [1385.4892283213599, 1385.4892283213599], [1397.7514043102128, 1397.7514043102128], [1515.560594824783, 1516.3444494562768], [1616.746109611515, 1632.5818121758562], [1649.9995517941707, 1649.9995517941707]]"
Unknown,58934.707870370374,8h36m01.93s,"(856.0, 1712.0)","[[874.9368706171714, 874.9368706171714], [920.0450032395098, 921.1808753716758], [963.1378425814014, 963.1378425814014], [1016.5756719204393, 1016.5756719204393], [1082.7274900433843, 1083.4344457225702], [1147.5607767819345, 1148.3446344757863], [1294.3387247356986, 1303.8155305089792], [1322.3921852573446, 1322.4898093849138], [1339.6066367768997, 1341.1941051756332], [1359.2830904275547, 1363.331969381357], [1386.111777676953, 1386.111777676953], [1397.2557416134357, 1397.2557416134357], [1608.4860477796, 1632.6767622531283], [1649.9550404278687, 1649.9550404278687]]"
Unknown,58934.685,4h08m27.81s,"(909.5, 1712.0)","[[963.6582004833928, 967.8016325559416], [991.4067044264642, 993.7718592442766], [1006.6027430327567, 1043.011172801636], [1147.5658756346972, 1148.335649324571], [1296.1622618550934, 1304.432598379247], [1319.9604963168201, 1323.9960290649065], [1339.8437359611046, 1340.9755178316207], [1360.1844331594773, 1361.4948180450667], [1386.3701635241248, 1386.3701635241248], [1396.9064273884603, 1396.9064273884603], [1444.8819475859748, 1445.13018484236], [1617.2117032013211, 1639.0796164943474], [1649.967010803268, 1649.967010803268]]"
Unknown,58934.6649537037,4h08m27.81s,"(909.5, 1712.0)","[[977.3602404403874, 978.906631811553], [991.1803355439232, 993.9910517780067], [1005.7491237236358, 1047.2162092795186], [1293.8312155617202, 1293.8312155617202], [1305.4402032340392, 1305.4402032340392], [1339.8004302069476, 1341.015862187941], [1356.8593313778144, 1364.795239114051], [1385.386654252286, 1385.386654252286], [1397.8580047282906, 1397.8580047282906], [1621.1184266756818, 1632.4663521711723], [1649.9931564390483, 1649.9931564390483]]"
Unknown,58934.66447916667,4h08m27.81s,"(909.5, 1712.0)","[[977.6665550644649, 978.5227966602033], [991.2595082216114, 993.8804814685291], [1005.9162026694481, 1047.2130725572722], [1294.2260746021002, 1294.2260746021002], [1305.1158535084396, 1305.1158535084396], [1339.922329791826, 1340.900333411129], [1358.622523187083, 1363.505151382244], [1385.6413803312994, 1385.6413803312994], [1397.5963894663498, 1397.5963894663498], [1621.1079291140948, 1632.5515720552228], [1650.0257219292828, 1650.0257219292828]]"
J0835-4510,59046.64399305556,8h26m01.91s,"(856.0, 1605.0)","[[873.2039805370288, 873.2039805370288], [919.975623965486, 919.975623965486], [935.4202155241288, 946.8426261000021], [992.659931057196, 996.0895173998642], [1016.3811204419209, 1016.3811204419209], [1117.044189417448, 1117.044189417448], [1128.8871688997424, 1128.8871688997424], [1149.4169912329573, 1157.48785213512], [1173.40377909972, 1174.8109991381384], [1208.973643628261, 1208.973643628261], [1220.72011367012, 1220.72011367012], [1366.157640304206, 1366.9334185077162], [1467.295083942179, 1508.8504756980008], [1520.5463100693328, 1523.2880081797864], [1535.7562935088042, 1536.8769445688297]]"
J0918-1205_offset,59046.61042824074,8h26m01.91s,"(856.0, 1605.0)","[[935.4205246192577, 947.4142748901756], [1117.358847920926, 1117.358847920926], [1128.5631691013173, 1128.5631691013173], [1151.1839539239022, 1155.8206837965258], [1173.9938188890833, 1174.2331674695697], [1211.7365680090018, 1227.530763283829], [1470.0147647769638, 1507.9189110482284], [1520.6064871764925, 1523.2316111310877], [1536.8391284407362, 1537.5444860793302]]"
J0918-1205_offset,59046.623391203706,8h26m01.91s,"(856.0, 1498.0)","[[935.4249347956, 946.8850353386283], [1118.0804383553857, 1127.692071745952], [1152.420145913036, 1154.8797501511149], [1173.7312048363297, 1174.4553480361574], [1210.7692741297635, 1218.6963767957907], [1413.4534442225447, 1455.0585111666032], [1467.0328031748093, 1469.8087355827693], [1482.9297121469124, 1482.9773174858035], [1494.8091940375616, 1495.1877216148032]]"
J0918-1205,59046.62212962963,8h26m01.91s,"(856.0, 1498.0)","[[935.4285865523101, 959.9513509036229], [1117.8456819561718, 1117.8456819561718], [1128.1970962145447, 1128.1970962145447], [1151.928806502879, 1155.0945856861476], [1173.573846610128, 1174.6145878050577], [1189.2600185341678, 1189.613947114694], [1211.005983127977, 1226.2128900292], [1419.0206770575442, 1455.131287691922], [1467.0736093168591, 1469.8045134502756], [1482.773203743374, 1491.3229495247122]]"
